epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5229.39,1.64468,1.47153,1.98724,0.78018,0.82954,0.84811,0.44721,1.6635,1.06629,2.03353,0.0007294,0.0007294,0.0007294
43,5355,1.63206,1.40966,1.97219,0.78608,0.82179,0.8472,0.4609,1.63417,1.03092,1.99988,0.0007228,0.0007228,0.0007228
44,5479.08,1.62964,1.42956,1.98388,0.79372,0.83318,0.8573,0.43388,1.74579,1.04782,2.07774,0.0007162,0.0007162,0.0007162
45,5605.88,1.63565,1.46296,1.98807,0.78236,0.84503,0.85871,0.44368,1.70097,1.0281,2.0847,0.0007096,0.0007096,0.0007096
46,5729.83,1.62998,1.45596,1.97618,0.83168,0.835,0.86454,0.46015,1.67521,1.01098,2.03345,0.000703,0.000703,0.000703
47,5855.01,1.61293,1.44942,1.94844,0.80919,0.84412,0.86837,0.47309,1.6528,0.97984,2.01352,0.0006964,0.0006964,0.0006964
48,5981.23,1.61368,1.40991,1.96257,0.81242,0.83304,0.87477,0.46047,1.67213,1.0151,2.02535,0.0006898,0.0006898,0.0006898
49,6105.43,1.58463,1.41731,1.93188,0.79869,0.84458,0.85924,0.48638,1.58872,0.97087,1.98577,0.0006832,0.0006832,0.0006832
50,6229.43,1.62723,1.39445,1.97157,0.81506,0.84366,0.87521,0.49424,1.5739,0.97507,1.97061,0.0006766,0.0006766,0.0006766
51,6349.24,1.59291,1.38207,1.94475,0.82113,0.84822,0.88299,0.45351,1.74839,0.97488,2.07781,0.00067,0.00067,0.00067
52,6466.92,1.61262,1.3563,1.95728,0.82144,0.84291,0.88275,0.4566,1.70397,0.99828,2.04036,0.0006634,0.0006634,0.0006634
53,6586.29,1.5797,1.32763,1.94498,0.83298,0.835,0.87964,0.4653,1.6807,0.98458,2.0297,0.0006568,0.0006568,0.0006568
54,6706.42,1.59804,1.38127,1.96099,0.76212,0.8382,0.84147,0.46873,1.58981,0.98623,1.98436,0.0006502,0.0006502,0.0006502
55,6824.78,1.58831,1.36458,1.94663,0.8216,0.84184,0.88113,0.48445,1.60703,0.96558,1.98412,0.0006436,0.0006436,0.0006436
56,6942.9,1.61888,1.40769,1.97018,0.81882,0.84661,0.87817,0.49352,1.58803,0.93428,1.98705,0.000637,0.000637,0.000637
57,7061.89,1.58211,1.34617,1.94552,0.82504,0.83136,0.88198,0.49137,1.58747,0.93177,1.97387,0.0006304,0.0006304,0.0006304
58,7181.62,1.57098,1.30288,1.94845,0.82137,0.84184,0.87723,0.49406,1.58093,0.93948,1.97327,0.0006238,0.0006238,0.0006238
59,7298.83,1.57712,1.32029,1.93707,0.82543,0.85346,0.88558,0.49171,1.59615,0.91148,1.9909,0.0006172,0.0006172,0.0006172
60,7418.68,1.55366,1.30661,1.92608,0.82867,0.85976,0.89212,0.49442,1.59584,0.95036,1.98429,0.0006106,0.0006106,0.0006106
61,7539.24,1.57589,1.33141,1.93851,0.82628,0.84763,0.89077,0.51712,1.53066,0.9059,1.91518,0.000604,0.000604,0.000604
62,7658.36,1.56672,1.32691,1.92943,0.80433,0.86007,0.87939,0.45315,1.7305,0.98808,2.07166,0.0005974,0.0005974,0.0005974
63,7776.57,1.57902,1.26301,1.94998,0.78547,0.85096,0.83412,0.47138,1.56001,0.99093,1.954,0.0005908,0.0005908,0.0005908
64,7895.7,1.53369,1.30134,1.90981,0.81723,0.86005,0.88533,0.48645,1.59602,0.92918,1.96794,0.0005842,0.0005842,0.0005842
65,8016.03,1.57543,1.35076,1.93305,0.77161,0.84231,0.8013,0.45029,1.5796,1.04491,1.94729,0.0005776,0.0005776,0.0005776
66,8135.04,1.54965,1.29925,1.9094,0.82948,0.87238,0.90486,0.50239,1.59706,0.89904,1.96396,0.000571,0.000571,0.000571
67,8255.17,1.53157,1.25407,1.89148,0.83737,0.84719,0.90215,0.5142,1.54435,0.87555,1.92505,0.0005644,0.0005644,0.0005644
68,8372.77,1.51232,1.26552,1.88745,0.80991,0.85446,0.88485,0.51684,1.50183,0.90652,1.916,0.0005578,0.0005578,0.0005578
69,8491.74,1.54752,1.29307,1.9183,0.80129,0.85962,0.8628,0.498,1.52144,0.93669,1.91734,0.0005512,0.0005512,0.0005512
70,8610.19,1.50984,1.2896,1.89518,0.81945,0.87915,0.90431,0.52118,1.50398,0.88994,1.89853,0.0005446,0.0005446,0.0005446
71,8730.32,1.53618,1.28148,1.91338,0.83079,0.85932,0.90045,0.52419,1.50542,0.87673,1.90035,0.000538,0.000538,0.000538
72,8851.33,1.50991,1.2852,1.89129,0.84693,0.87255,0.90743,0.5287,1.52778,0.83613,1.90942,0.0005314,0.0005314,0.0005314
73,8968.97,1.54425,1.27743,1.91143,0.82399,0.84777,0.88374,0.50933,1.505,0.90586,1.89085,0.0005248,0.0005248,0.0005248
74,9087.28,1.51216,1.27821,1.87911,0.8085,0.85962,0.89152,0.49886,1.57843,0.92203,1.92948,0.0005182,0.0005182,0.0005182
75,9206.55,1.50915,1.22119,1.8741,0.87486,0.83911,0.91255,0.53545,1.50772,0.83401,1.8884,0.0005116,0.0005116,0.0005116
76,9325.64,1.49673,1.21048,1.87974,0.84504,0.85916,0.90312,0.52336,1.4971,0.8427,1.88308,0.000505,0.000505,0.000505
77,9444.92,1.51205,1.20656,1.86849,0.83735,0.87284,0.91233,0.55043,1.44351,0.83287,1.85761,0.0004984,0.0004984,0.0004984
78,9562.82,1.49723,1.18819,1.87465,0.83352,0.8786,0.91207,0.51296,1.57059,0.86295,1.94193,0.0004918,0.0004918,0.0004918
79,10003.3,1.48282,1.20813,1.85772,0.81258,0.87739,0.89566,0.5404,1.45698,0.86565,1.86231,0.0004852,0.0004852,0.0004852
80,10376.2,1.48507,1.19257,1.87229,0.83915,0.8822,0.9173,0.5524,1.44718,0.82001,1.85561,0.0004786,0.0004786,0.0004786
81,10491.7,1.48572,1.17493,1.86146,0.82646,0.87238,0.90919,0.55035,1.43749,0.82271,1.84436,0.000472,0.000472,0.000472
82,10608.5,1.47003,1.22938,1.86363,0.84494,0.87147,0.92054,0.5627,1.40213,0.82647,1.82173,0.0004654,0.0004654,0.0004654
83,10726.4,1.47773,1.20639,1.86128,0.84279,0.87475,0.91401,0.56169,1.40735,0.81889,1.82392,0.0004588,0.0004588,0.0004588
84,10845.4,1.46966,1.1899,1.84992,0.8039,0.86737,0.87862,0.53136,1.42602,0.89998,1.84162,0.0004522,0.0004522,0.0004522
85,10965,1.47811,1.18212,1.85495,0.82464,0.87451,0.90772,0.54913,1.44625,0.83382,1.8437,0.0004456,0.0004456,0.0004456
86,11085.3,1.47721,1.21392,1.86115,0.78666,0.89061,0.85448,0.51893,1.40956,0.90905,1.82723,0.000439,0.000439,0.000439
87,11205.1,1.47369,1.18188,1.85678,0.81729,0.8742,0.89073,0.53981,1.42395,0.85807,1.83693,0.0004324,0.0004324,0.0004324
88,11324.9,1.44564,1.11892,1.83375,0.81968,0.87845,0.89347,0.55566,1.37388,0.83015,1.79686,0.0004258,0.0004258,0.0004258
89,11443.2,1.45757,1.18509,1.8383,0.84515,0.89058,0.917,0.56882,1.39741,0.78054,1.81564,0.0004192,0.0004192,0.0004192
